date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2024-01-07,SKU001,45,0,3,36
2024-01-14,SKU001,226,0,3,36
2024-01-21,SKU001,163,0,3,36
2024-01-28,SKU001,95,0,3,36
2024-02-04,SKU001,25,108,3,36
2024-02-11,SKU001,0,220,3,36
2024-02-18,SKU001,138,0,3,36
2024-02-25,SKU001,83,0,3,36
2024-03-03,SKU001,235,0,3,36
2024-03-10,SKU001,164,0,3,36
2024-03-17,SKU001,107,0,3,36
2024-03-24,SKU001,44,0,3,36
2024-03-31,SKU001,229,0,3,36
2024-04-07,SKU001,165,0,3,36
2024-04-14,SKU001,95,0,3,36
2024-04-21,SKU001,39,0,3,36
2024-04-28,SKU001,0,234,3,36
2024-05-05,SKU001,0,179,3,36
2024-05-12,SKU001,0,125,3,36
2024-05-19,SKU001,174,0,3,36
2024-05-26,SKU001,115,0,3,36
2024-06-02,SKU001,52,0,3,36
2024-06-09,SKU001,0,237,3,36
2024-06-16,SKU001,123,0,3,36
2024-06-23,SKU001,65,0,3,36
2024-06-30,SKU001,123,0,3,36
2024-07-07,SKU001,55,0,3,36
2024-07-14,SKU001,173,0,3,36
2024-07-21,SKU001,104,0,3,36
2024-07-28,SKU001,40,0,3,36
2024-08-04,SKU001,124,0,3,36
2024-08-11,SKU001,67,0,3,36
2024-08-18,SKU001,220,0,3,36
2024-08-25,SKU001,151,0,3,36
2024-09-01,SKU001,85,0,3,36
2024-09-08,SKU001,175,0,3,36
2024-09-15,SKU001,104,0,3,36
2024-09-22,SKU001,51,0,3,36
2024-09-29,SKU001,211,0,3,36
2024-10-06,SKU001,151,0,3,36
2024-10-13,SKU001,89,0,3,36
2024-10-20,SKU001,136,0,3,36
2024-10-27,SKU001,60,0,3,36
2024-11-03,SKU001,0,194,3,36
2024-11-10,SKU001,104,0,3,36
2024-11-17,SKU001,53,0,3,36
2024-11-24,SKU001,173,0,3,36
2024-12-01,SKU001,81,0,3,36
2024-12-08,SKU001,100,0,3,36
2024-12-15,SKU001,35,135,3,36
2024-12-22,SKU001,0,175,3,36
2024-12-29,SKU001,0,197,3,36
2025-01-05,SKU001,122,0,3,36
2025-01-12,SKU001,63,0,3,36
2025-01-19,SKU001,12,104,3,36
2025-01-26,SKU001,236,0,3,36
2025-02-02,SKU001,185,0,3,36
2025-02-09,SKU001,141,0,3,36
2025-02-16,SKU001,94,0,3,36
2025-02-23,SKU001,28,210,3,36
2025-03-02,SKU001,0,146,3,36
2025-03-09,SKU001,221,0,3,36
2025-03-16,SKU001,155,0,3,36
2025-03-23,SKU001,72,0,3,36
2025-03-30,SKU001,238,0,3,36
2025-04-06,SKU001,175,0,3,36
2025-04-13,SKU001,116,0,3,36
2025-04-20,SKU001,60,0,3,36
2025-04-27,SKU001,2,175,3,36
2025-05-04,SKU001,211,0,3,36
2025-05-11,SKU001,162,0,3,36
2025-05-18,SKU001,114,0,3,36
2025-05-25,SKU001,50,0,3,36
2025-06-01,SKU001,237,0,3,36
2025-06-08,SKU001,179,0,3,36
2025-06-15,SKU001,117,0,3,36
2025-06-22,SKU001,67,0,3,36
2025-06-29,SKU001,25,121,3,36
2025-07-06,SKU001,145,0,3,36
2025-07-13,SKU001,98,0,3,36
2025-07-20,SKU001,37,0,3,36
2025-07-27,SKU001,193,0,3,36
2025-08-03,SKU001,127,0,3,36
2025-08-10,SKU001,63,0,3,36
2025-08-17,SKU001,0,100,3,36
2025-08-24,SKU001,187,0,3,36
2025-08-31,SKU001,134,0,3,36
2025-09-07,SKU001,87,0,3,36
2025-09-14,SKU001,42,0,3,36
2025-09-21,SKU001,0,111,3,36
2025-09-28,SKU001,0,232,3,36
2025-10-05,SKU001,0,168,3,36
2025-10-12,SKU001,121,0,3,36
2025-10-19,SKU001,51,0,3,36
2025-10-26,SKU001,161,0,3,36
2025-11-02,SKU001,42,0,3,36
2025-11-09,SKU001,200,0,3,36
2025-11-16,SKU001,129,0,3,36
2025-11-23,SKU001,52,0,3,36
2025-11-30,SKU001,0,149,3,36
2025-12-07,SKU001,0,124,3,36
2025-12-14,SKU001,200,0,3,36
2025-12-21,SKU001,145,0,3,36
2025-12-28,SKU001,80,0,3,36
2024-01-07,SKU002,124,0,6,97
2024-01-14,SKU002,354,0,6,97
2024-01-21,SKU002,258,0,6,97
2024-01-28,SKU002,165,0,6,97
2024-02-04,SKU002,81,234,6,97
2024-02-11,SKU002,167,0,6,97
2024-02-18,SKU002,288,0,6,97
2024-02-25,SKU002,196,0,6,97
2024-03-03,SKU002,122,0,6,97
2024-03-10,SKU002,302,0,6,97
2024-03-17,SKU002,205,0,6,97
2024-03-24,SKU002,125,0,6,97
2024-03-31,SKU002,247,0,6,97
2024-04-07,SKU002,160,0,6,97
2024-04-14,SKU002,382,0,6,97
2024-04-21,SKU002,304,0,6,97
2024-04-28,SKU002,221,0,6,97
2024-05-05,SKU002,127,0,6,97
2024-05-12,SKU002,194,0,6,97
2024-05-19,SKU002,99,0,6,97
2024-05-26,SKU002,238,0,6,97
2024-06-02,SKU002,153,0,6,97
2024-06-09,SKU002,80,231,6,97
2024-06-16,SKU002,0,188,6,97
2024-06-23,SKU002,0,201,6,97
2024-06-30,SKU002,260,0,6,97
2024-07-07,SKU002,186,0,6,97
2024-07-14,SKU002,96,285,6,97
2024-07-21,SKU002,253,0,6,97
2024-07-28,SKU002,161,0,6,97
2024-08-04,SKU002,127,0,6,97
2024-08-11,SKU002,205,0,6,97
2024-08-18,SKU002,103,0,6,97
2024-08-25,SKU002,237,0,6,97
2024-09-01,SKU002,177,0,6,97
2024-09-08,SKU002,95,300,6,97
2024-09-15,SKU002,233,0,6,97
2024-09-22,SKU002,172,0,6,97
2024-09-29,SKU002,114,0,6,97
2024-10-06,SKU002,33,288,6,97
2024-10-13,SKU002,0,179,6,97
2024-10-20,SKU002,0,226,6,97
2024-10-27,SKU002,288,0,6,97
2024-11-03,SKU002,173,0,6,97
2024-11-10,SKU002,347,0,6,97
2024-11-17,SKU002,265,0,6,97
2024-11-24,SKU002,158,0,6,97
2024-12-01,SKU002,343,0,6,97
2024-12-08,SKU002,240,0,6,97
2024-12-15,SKU002,146,0,6,97
2024-12-22,SKU002,364,0,6,97
2024-12-29,SKU002,273,0,6,97
2025-01-05,SKU002,192,0,6,97
2025-01-12,SKU002,128,0,6,97
2025-01-19,SKU002,45,167,6,97
2025-01-26,SKU002,0,315,6,97
2025-02-02,SKU002,0,296,6,97
2025-02-09,SKU002,306,0,6,97
2025-02-16,SKU002,241,0,6,97
2025-02-23,SKU002,180,0,6,97
2025-03-02,SKU002,103,0,6,97
2025-03-09,SKU002,236,0,6,97
2025-03-16,SKU002,160,0,6,97
2025-03-23,SKU002,31,232,6,97
2025-03-30,SKU002,284,0,6,97
2025-04-06,SKU002,202,0,6,97
2025-04-13,SKU002,136,0,6,97
2025-04-20,SKU002,355,0,6,97
2025-04-27,SKU002,267,0,6,97
2025-05-04,SKU002,200,0,6,97
2025-05-11,SKU002,120,0,6,97
2025-05-18,SKU002,218,0,6,97
2025-05-25,SKU002,156,0,6,97
2025-06-01,SKU002,104,0,6,97
2025-06-08,SKU002,44,190,6,97
2025-06-15,SKU002,294,0,6,97
2025-06-22,SKU002,208,0,6,97
2025-06-29,SKU002,144,0,6,97
2025-07-06,SKU002,399,0,6,97
2025-07-13,SKU002,314,0,6,97
2025-07-20,SKU002,260,0,6,97
2025-07-27,SKU002,205,0,6,97
2025-08-03,SKU002,129,0,6,97
2025-08-10,SKU002,46,208,6,97
2025-08-17,SKU002,0,268,6,97
2025-08-24,SKU002,199,0,6,97
2025-08-31,SKU002,117,0,6,97
2025-09-07,SKU002,58,288,6,97
2025-09-14,SKU002,226,0,6,97
2025-09-21,SKU002,139,0,6,97
2025-09-28,SKU002,355,0,6,97
2025-10-05,SKU002,268,0,6,97
2025-10-12,SKU002,188,0,6,97
2025-10-19,SKU002,84,213,6,97
2025-10-26,SKU002,0,176,6,97
2025-11-02,SKU002,0,284,6,97
2025-11-09,SKU002,132,0,6,97
2025-11-16,SKU002,34,297,6,97
2025-11-23,SKU002,0,139,6,97
2025-11-30,SKU002,0,215,6,97
2025-12-07,SKU002,209,0,6,97
2025-12-14,SKU002,100,0,6,97
2025-12-21,SKU002,168,0,6,97
2025-12-28,SKU002,85,213,6,97
2024-01-07,SKU003,167,0,11,116
2024-01-14,SKU003,304,0,11,116
2024-01-21,SKU003,238,0,11,116
2024-01-28,SKU003,167,0,11,116
2024-02-04,SKU003,95,242,11,116
2024-02-11,SKU003,247,0,11,116
2024-02-18,SKU003,174,0,11,116
2024-02-25,SKU003,103,122,11,116
2024-03-03,SKU003,31,234,11,116
2024-03-10,SKU003,0,173,11,116
2024-03-17,SKU003,217,0,11,116
2024-03-24,SKU003,146,0,11,116
2024-03-31,SKU003,258,0,11,116
2024-04-07,SKU003,194,0,11,116
2024-04-14,SKU003,134,0,11,116
2024-04-21,SKU003,272,0,11,116
2024-04-28,SKU003,212,0,11,116
2024-05-05,SKU003,154,0,11,116
2024-05-12,SKU003,280,0,11,116
2024-05-19,SKU003,211,0,11,116
2024-05-26,SKU003,152,0,11,116
2024-06-02,SKU003,123,0,11,116
2024-06-09,SKU003,66,206,11,116
2024-06-16,SKU003,205,0,11,116
2024-06-23,SKU003,134,0,11,116
2024-06-30,SKU003,266,0,11,116
2024-07-07,SKU003,219,0,11,116
2024-07-14,SKU003,161,0,11,116
2024-07-21,SKU003,115,111,11,116
2024-07-28,SKU003,69,215,11,116
2024-08-04,SKU003,21,113,11,116
2024-08-11,SKU003,0,176,11,116
2024-08-18,SKU003,181,0,11,116
2024-08-25,SKU003,121,0,11,116
2024-09-01,SKU003,63,195,11,116
2024-09-08,SKU003,115,0,11,116
2024-09-15,SKU003,169,0,11,116
2024-09-22,SKU003,122,0,11,116
2024-09-29,SKU003,73,177,11,116
2024-10-06,SKU003,129,0,11,116
2024-10-13,SKU003,247,0,11,116
2024-10-20,SKU003,187,0,11,116
2024-10-27,SKU003,338,0,11,116
2024-11-03,SKU003,247,0,11,116
2024-11-10,SKU003,154,0,11,116
2024-11-17,SKU003,267,0,11,116
2024-11-24,SKU003,174,0,11,116
2024-12-01,SKU003,209,0,11,116
2024-12-08,SKU003,119,0,11,116
2024-12-15,SKU003,47,232,11,116
2024-12-22,SKU003,213,0,11,116
2024-12-29,SKU003,153,0,11,116
2025-01-05,SKU003,312,0,11,116
2025-01-12,SKU003,250,0,11,116
2025-01-19,SKU003,203,0,11,116
2025-01-26,SKU003,151,0,11,116
2025-02-02,SKU003,277,0,11,116
2025-02-09,SKU003,225,0,11,116
2025-02-16,SKU003,171,0,11,116
2025-02-23,SKU003,356,0,11,116
2025-03-02,SKU003,300,0,11,116
2025-03-09,SKU003,237,0,11,116
2025-03-16,SKU003,173,0,11,116
2025-03-23,SKU003,91,163,11,116
2025-03-30,SKU003,164,0,11,116
2025-04-06,SKU003,90,132,11,116
2025-04-13,SKU003,264,0,11,116
2025-04-20,SKU003,203,0,11,116
2025-04-27,SKU003,132,0,11,116
2025-05-04,SKU003,195,0,11,116
2025-05-11,SKU003,138,0,11,116
2025-05-18,SKU003,90,226,11,116
2025-05-25,SKU003,29,201,11,116
2025-06-01,SKU003,183,0,11,116
2025-06-08,SKU003,135,0,11,116
2025-06-15,SKU003,210,0,11,116
2025-06-22,SKU003,135,0,11,116
2025-06-29,SKU003,243,0,11,116
2025-07-06,SKU003,198,0,11,116
2025-07-13,SKU003,150,0,11,116
2025-07-20,SKU003,206,0,11,116
2025-07-27,SKU003,148,0,11,116
2025-08-03,SKU003,102,215,11,116
2025-08-10,SKU003,233,0,11,116
2025-08-17,SKU003,150,0,11,116
2025-08-24,SKU003,102,109,11,116
2025-08-31,SKU003,242,0,11,116
2025-09-07,SKU003,186,0,11,116
2025-09-14,SKU003,128,0,11,116
2025-09-21,SKU003,60,143,11,116
2025-09-28,SKU003,142,0,11,116
2025-10-05,SKU003,69,110,11,116
2025-10-12,SKU003,1,161,11,116
2025-10-19,SKU003,0,126,11,116
2025-10-26,SKU003,0,159,11,116
2025-11-02,SKU003,0,239,11,116
2025-11-09,SKU003,126,0,11,116
2025-11-16,SKU003,240,0,11,116
2025-11-23,SKU003,147,0,11,116
2025-11-30,SKU003,31,131,11,116
2025-12-07,SKU003,0,109,11,116
2025-12-14,SKU003,0,101,11,116
2025-12-21,SKU003,197,0,11,116
2025-12-28,SKU003,132,0,11,116
2024-01-07,SKU004,118,0,10,100
2024-01-14,SKU004,197,0,10,100
2024-01-21,SKU004,139,0,10,100
2024-01-28,SKU004,170,0,10,100
2024-02-04,SKU004,107,0,10,100
2024-02-11,SKU004,189,0,10,100
2024-02-18,SKU004,122,0,10,100
2024-02-25,SKU004,227,0,10,100
2024-03-03,SKU004,165,0,10,100
2024-03-10,SKU004,115,0,10,100
2024-03-17,SKU004,147,0,10,100
2024-03-24,SKU004,96,200,10,100
2024-03-31,SKU004,133,0,10,100
2024-04-07,SKU004,84,187,10,100
2024-04-14,SKU004,232,0,10,100
2024-04-21,SKU004,173,0,10,100
2024-04-28,SKU004,110,0,10,100
2024-05-05,SKU004,144,0,10,100
2024-05-12,SKU004,263,0,10,100
2024-05-19,SKU004,197,0,10,100
2024-05-26,SKU004,142,0,10,100
2024-06-02,SKU004,192,0,10,100
2024-06-09,SKU004,125,0,10,100
2024-06-16,SKU004,61,105,10,100
2024-06-23,SKU004,5,127,10,100
2024-06-30,SKU004,213,0,10,100
2024-07-07,SKU004,157,0,10,100
2024-07-14,SKU004,200,0,10,100
2024-07-21,SKU004,141,0,10,100
2024-07-28,SKU004,171,0,10,100
2024-08-04,SKU004,109,0,10,100
2024-08-11,SKU004,48,104,10,100
2024-08-18,SKU004,143,0,10,100
2024-08-25,SKU004,218,0,10,100
2024-09-01,SKU004,155,0,10,100
2024-09-08,SKU004,97,180,10,100
2024-09-15,SKU004,44,150,10,100
2024-09-22,SKU004,143,0,10,100
2024-09-29,SKU004,309,0,10,100
2024-10-06,SKU004,251,0,10,100
2024-10-13,SKU004,194,0,10,100
2024-10-20,SKU004,176,0,10,100
2024-10-27,SKU004,291,0,10,100
2024-11-03,SKU004,221,0,10,100
2024-11-10,SKU004,150,0,10,100
2024-11-17,SKU004,101,0,10,100
2024-11-24,SKU004,35,188,10,100
2024-12-01,SKU004,114,0,10,100
